iter	RMSE
0	0.5218419951
1	0.501971732
2	0.4864343545
3	0.4708640879
4	0.4522567716
5	0.4336326956
6	0.4173355905
7	0.4065351816
8	0.3890410407
9	0.3799762267
10	0.3679994505
11	0.3547484929
12	0.3425296511
13	0.3317469264
14	0.3216635765
15	0.3109903472
16	0.2983831518
17	0.2896936039
18	0.2810815359
19	0.2723978013
20	0.2643297822
21	0.2538423224
22	0.2450737003
23	0.2344668457
24	0.2249627534
25	0.218182037
26	0.2106305965
27	0.2042329177
28	0.1986415105
29	0.192614258
30	0.1854739792
31	0.1799291522
32	0.1740666388
33	0.1677217893
34	0.1623698224
35	0.1557892873
36	0.1494580305
37	0.1444956303
38	0.1387014091
39	0.1337196353
40	0.128551096
41	0.1232531584
42	0.1184341635
43	0.1136122906
44	0.109059372
45	0.1047232902
46	0.1004978972
47	0.09647826922
48	0.09218104911
49	0.08810226632
50	0.08425946667
51	0.08064545878
52	0.0772143528
53	0.07395641863
54	0.07086248869
55	0.0685525915
56	0.06572130157
57	0.06282284723
58	0.06008970062
59	0.05782490358
60	0.05569971258
61	0.05370568264
62	0.05183491521
63	0.05008001767
64	0.04843406569
65	0.04647959127
66	0.04506149618
67	0.04326115373
68	0.04120600425
69	0.04013875148
70	0.03912478144
71	0.03757947415
72	0.03622418811
73	0.03492779372
74	0.03320500482
75	0.03238500614
76	0.03115117583
77	0.03024569453
78	0.02910139424
79	0.028008823
80	0.02696549582
81	0.02620764756
82	0.02523892014
83	0.02431371909
84	0.0234300159
85	0.02255123557
86	0.02171005954
87	0.02090461288
88	0.02013314608
89	0.01939402438
90	0.01868571814
91	0.01800679421
92	0.017355908
93	0.01673179647
94	0.01613327166
95	0.01555921489
96	0.01500857151
97	0.01448034608
98	0.01378104888
99	0.01329961113
