iter	Passed	Remaining
0	1	129
1	1	95
2	3	98
3	4	100
4	4	94
5	5	90
6	6	87
7	7	85
8	8	85
9	9	84
10	10	83
11	10	80
12	11	78
13	12	78
14	13	78
15	14	78
16	15	76
17	16	75
18	32	136
19	33	133
20	34	130
21	36	127
22	37	124
23	38	121
24	39	119
25	40	115
26	41	112
27	42	109
28	43	106
29	45	105
30	46	103
31	47	100
32	48	98
33	49	95
34	49	92
35	50	90
36	51	88
37	52	85
38	53	84
39	55	82
40	57	82
41	60	82
42	61	81
43	62	79
44	63	77
45	64	76
46	66	74
47	67	72
48	69	71
49	70	70
50	71	68
51	72	66
52	73	64
53	74	63
54	75	61
55	76	60
56	78	58
57	79	57
58	80	56
59	81	54
60	82	53
61	84	51
62	85	50
63	86	48
64	87	47
65	88	45
66	89	43
67	89	42
68	90	40
69	91	39
70	92	37
71	93	36
72	93	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	27
78	100	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	11
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	119	2
98	120	1
99	121	0
